CreateObject(1344, 2489.9390, -1649.5145, 13.3163, 0.0000, 0.0000, 0.0000);
CreateObject(643, 297.9286, -1877.1473, 1.8337, 0.0000, 0.0000, 0.0000);
CreateObject(1432, 298.8143, -1869.3943, 1.7634, 0.0000, 0.0000, 0.0000);
CreateObject(1432, 293.6667, -1884.7319, 0.9443, 0.0000, 0.0000, 0.0000);
CreateObject(643, 304.2485, -1873.0391, 2.0824, 0.0000, 0.0000, 0.0000);
CreateObject(643, 314.4589, -1878.5305, 1.8287, 0.0000, 0.0000, 0.0000);
CreateObject(1594, 316.3575, -1866.1188, 2.3866, 0.0000, 0.0000, 0.0000);
CreateObject(1594, 319.8171, -1886.5952, 1.4513, 0.0000, 0.0000, 0.0000);
CreateObject(2849, 314.4010, -1878.6074, 2.2288, 0.0000, 0.0000, 0.0000);
CreateObject(2830, 319.8289, -1886.3528, 1.9289, 0.0000, 0.0000, 0.0000);
CreateObject(2829, 304.1874, -1873.0569, 2.4825, 0.0000, 0.0000, 0.0000);
CreateObject(2822, 299.0068, -1869.6212, 2.4857, 0.0000, 0.0000, 0.0000);
CreateObject(1223, 303.9686, -1860.2174, 2.0481, 0.0000, 0.0000, 0.0000);
CreateObject(1223, 308.5904, -1860.4384, 2.0367, 0.0000, 0.0000, 188.0000);
CreateObject(1231, 315.6830, -1873.5636, 4.3508, 0.0000, 0.0000, 0.0000);
CreateObject(1231, 293.8447, -1887.5313, 3.5360, 0.0000, 0.0000, 0.0000);
CreateObject(1231, 292.4225, -1869.9106, 4.4253, 0.0000, 0.0000, 0.0000);
CreateObject(1231, 323.8752, -1891.9092, 3.4539, 0.0000, 0.0000, 0.0000);
CreateObject(1232, 307.3544, -1893.5721, 3.2144, 0.0000, 0.0000, 0.0000);
CreateObject(1278, 328.3085, -1894.1052, 14.8208, 0.0000, 0.0000, 228.0000);
CreateObject(1319, 308.2452, -1857.0171, 2.6825, 0.0000, 0.0000, 0.0000);
CreateObject(1319, 303.9342, -1857.0194, 2.6825, 0.0000, 0.0000, 0.0000);
CreateObject(1319, 308.2296, -1855.6660, 2.7195, 0.0000, 0.0000, 0.0000);
CreateObject(1319, 303.9832, -1855.6550, 2.7198, 0.0000, 0.0000, 0.0000);
CreateObject(1319, 308.1625, -1854.3057, 2.7567, 0.0000, 0.0000, 0.0000);
CreateObject(1319, 303.9684, -1854.2697, 2.7577, 0.0000, 0.0000, 0.0000);
CreateObject(1319, 308.1628, -1852.8971, 2.7952, 0.0000, 0.0000, 0.0000);
CreateObject(1319, 304.0232, -1852.9097, 2.7949, 0.0000, 0.0000, 0.0000);
CreateObject(1319, 308.0651, -1851.5127, 2.8331, 0.0000, 0.0000, 0.0000);
CreateObject(1319, 304.0929, -1851.5459, 2.8322, 0.0000, 0.0000, 0.0000);
CreateObject(1342, 303.2663, -1842.9419, 3.5543, 0.0000, 0.0000, 182.0000);
CreateObject(1341, 303.5480, -1849.9474, 3.3316, 0.0000, 0.0000, 0.0000);
CreateObject(1568, 308.3570, -1817.7070, 3.2514, 0.0000, 0.0000, 0.0000);
CreateObject(6299, 305.3480, -1838.1250, 4.9333, 0.0000, 0.0000, 0.0000);
CreateObject(955, 326.2918, -1894.0679, 0.6248, 0.0000, 0.0000, 186.0000);
CreateObject(2453, 310.4399, -1836.1613, 4.3273, 0.0000, 0.0000, 0.0000);
CreateObject(2857, 307.8940, -1835.7604, 2.7311, 0.0000, 0.0000, 0.0000);
CreateObject(8171, 1422.1614, -2542.5144, 49.0520, 30.0000, 0.0000, 92.0000);
CreateObject(8171, 1367.1394, -2544.2295, 80.7645, 29.9982, 0.0000, 91.9995);
CreateObject(8171, 1309.3711, -2546.2119, 114.1607, 29.9927, 0.0000, 91.9940);
CreateObject(8171, 1485.9718, -2540.4146, 12.3047, 29.9982, 0.0000, 91.9995);
CreateObject(13592, 1487.9703, -2547.3638, 24.1175, 0.0000, 15.0000, 8.0000);
CreateObject(10767, 1221.6289, -2565.1318, 133.8912, 0.0000, 0.0000, 47.9993);
CreateObject(10767, 1168.6823, -2567.8684, 133.8912, 0.0000, 0.0000, 47.9993);
CreateObject(10767, 1115.0887, -2570.6333, 133.8912, 0.0000, 0.0000, 47.9993);
CreateObject(10767, 1061.7764, -2573.6279, 133.8912, 0.0000, 0.0000, 47.9938);
CreateObject(10767, 1008.8916, -2576.4697, 133.8912, 0.0000, 0.0000, 47.9938);
CreateObject(7940, 1010.4334, -2642.8447, 151.3893, 0.0000, 0.0000, 184.0000);
CreateObject(7940, 1064.2661, -2638.9678, 151.3893, 0.0000, 0.0000, 183.9990);
CreateObject(7940, 1118.3398, -2634.9883, 151.3893, 0.0000, 0.0000, 183.9990);
CreateObject(7940, 1171.5525, -2631.1699, 151.3893, 0.0000, 0.0000, 183.9990);
CreateObject(7940, 1224.9314, -2627.3848, 151.3893, 0.0000, 0.0000, 183.9990);
CreateObject(14467, 1247.7856, -2526.1431, 151.2422, 0.0000, 0.0000, 0.0000);
CreateObject(14467, 1249.5417, -2569.6228, 151.2422, 0.0000, 0.0000, 180.0000);
CreateObject(11435, 1245.9883, -2572.1208, 153.5681, 0.0000, 0.0000, 36.0000);
CreateObject(11435, 1244.4980, -2524.9365, 153.5681, 0.0000, 0.0000, 329.9967);
CreateObject(1237, 1247.5951, -2527.7979, 148.5084, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 1245.0934, -2528.0286, 148.5084, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 1243.0928, -2528.0303, 148.5084, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 1241.3430, -2528.0447, 148.5084, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 1241.3658, -2526.4050, 148.5084, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 1241.3857, -2524.6543, 148.5084, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 1241.4033, -2523.1543, 148.5084, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 1241.4033, -2523.1543, 148.5084, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 1248.9214, -2568.2393, 148.5084, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 1246.6720, -2568.2986, 148.5084, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 1244.6729, -2568.3506, 148.5084, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 1242.6738, -2568.4033, 148.5084, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 1242.7644, -2570.1516, 148.5084, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 1242.8672, -2572.1494, 148.5084, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 1242.9836, -2574.3972, 148.5084, 0.0000, 0.0000, 0.0000);
CreateObject(3444, 1219.0317, -2497.3281, 151.0333, 0.0000, 0.0000, 92.0000);
CreateObject(3444, 1166.3960, -2499.2415, 151.0333, 0.0000, 0.0000, 91.9995);
CreateObject(3444, 1112.6356, -2502.4929, 151.0333, 0.0000, 0.0000, 93.9995);
CreateObject(3444, 1059.3357, -2506.3662, 151.0333, 0.0000, 0.0000, 93.9990);
CreateObject(3444, 1006.5815, -2510.5698, 151.0333, 0.0000, 0.0000, 93.9990);
CreateObject(3488, 1011.2928, -2597.3059, 155.3871, 0.0000, 0.0000, 2.0000);
CreateObject(3488, 1063.4949, -2594.7598, 155.3871, 0.0000, 0.0000, 1.9995);
CreateObject(3488, 1118.7391, -2591.7917, 155.3871, 0.0000, 0.0000, 1.9995);
CreateObject(3488, 1168.9688, -2590.8691, 155.3871, 0.0000, 0.0000, 1.9995);
CreateObject(3488, 1222.1187, -2587.7793, 155.3871, 0.0000, 0.0000, 1.9995);
CreateObject(3603, 1006.9573, -2557.9795, 154.3796, 0.0000, 0.0000, 2.0000);
CreateObject(3603, 1060.5203, -2557.0063, 154.3796, 0.0000, 0.0000, 1.9995);
CreateObject(3603, 1114.2612, -2555.2185, 154.3796, 0.0000, 0.0000, 1.9995);
CreateObject(3603, 1168.1580, -2553.3040, 154.3796, 0.0000, 0.0000, 1.9995);
CreateObject(8646, 977.1601, -2509.0496, 149.3659, 0.0000, 0.0000, 2.0000);
CreateObject(8646, 978.1832, -2538.5388, 149.3659, 0.0000, 0.0000, 1.9995);
CreateObject(8646, 979.5862, -2567.4954, 149.3659, 0.0000, 0.0000, 3.9995);
CreateObject(8646, 981.0571, -2586.8833, 149.3659, 0.0000, 0.0000, 3.9935);
CreateObject(8646, 984.4393, -2637.3091, 149.3659, 0.0000, 0.0000, 3.9935);
CreateObject(8646, 985.2022, -2648.0322, 149.3659, 0.0000, 0.0000, 3.9990);
CreateObject(8646, 991.2022, -2493.5276, 149.3659, 0.0000, 0.0000, 273.9995);
CreateObject(8646, 1020.6985, -2492.0793, 149.3659, 0.0000, 0.0000, 271.9990);
CreateObject(8646, 1049.9485, -2490.4854, 149.3659, 0.0000, 0.0000, 273.9940);
CreateObject(8646, 1078.0168, -2488.4878, 149.3659, 0.0000, 0.0000, 273.9935);
CreateObject(8646, 1107.6915, -2486.3525, 149.3659, 0.0000, 0.0000, 273.9935);
CreateObject(8646, 1136.9360, -2484.9636, 149.3659, 0.0000, 0.0000, 271.9935);
CreateObject(8646, 1166.7019, -2483.8252, 149.3659, 0.0000, 0.0000, 271.9885);
CreateObject(8646, 1197.3835, -2482.2188, 149.3659, 0.0000, 0.0000, 273.9885);
CreateObject(8646, 1228.3064, -2480.5977, 149.3659, 0.0000, 0.0000, 271.9880);
CreateObject(8646, 1239.9613, -2648.4651, 149.3659, 0.0000, 0.0000, 271.9830);
CreateObject(8646, 1210.1049, -2649.4597, 149.3659, 0.0000, 0.0000, 271.9830);
CreateObject(8646, 1181.8237, -2650.3774, 149.3659, 0.0000, 0.0000, 271.9830);
CreateObject(8646, 1152.4757, -2651.3035, 149.3659, 0.0000, 0.0000, 271.9830);
CreateObject(8646, 1123.2694, -2652.8391, 149.3659, 0.0000, 0.0000, 273.9830);
CreateObject(8646, 1093.7604, -2654.9490, 149.3659, 0.0000, 0.0000, 273.9825);
CreateObject(8646, 1064.6810, -2656.9988, 149.3659, 0.0000, 0.0000, 273.9825);
CreateObject(8646, 1035.1133, -2659.1123, 149.3659, 0.0000, 0.0000, 273.9825);
CreateObject(8646, 1005.7352, -2661.0852, 149.3659, 0.0000, 0.0000, 273.9825);
CreateObject(8646, 1000.7490, -2661.4609, 149.3659, 0.0000, 0.0000, 273.9825);
CreateObject(8646, 1253.5475, -2633.6069, 149.3659, 0.0000, 0.0000, 3.9990);
CreateObject(8646, 1251.5699, -2604.6846, 149.3659, 0.0000, 0.0000, 3.9990);
CreateObject(8646, 1250.2814, -2585.8618, 149.3659, 0.0000, 0.0000, 3.9990);
CreateObject(8646, 1246.2639, -2494.7209, 149.3659, 0.0000, 0.0000, 3.9990);
CreateObject(8646, 1230.5546, -2480.6658, 149.3659, 0.0000, 0.0000, 271.9830);
CreateObject(8646, 1247.2976, -2510.2073, 149.3659, 0.0000, 0.0000, 3.9990);
CreateObject(1237, 984.8200, -2503.6758, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 983.0524, -2503.7302, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 981.5311, -2503.7410, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 981.7881, -2505.2183, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 982.6685, -2507.3176, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 984.1570, -2506.4402, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 985.3073, -2505.2397, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 979.8430, -2503.5715, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 981.1316, -2508.4607, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 982.1563, -2506.3362, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 981.0996, -2510.4751, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 982.3423, -2510.3391, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 983.8330, -2510.1763, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 985.0757, -2510.0403, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 986.3179, -2509.9045, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 985.9833, -2511.4497, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 985.3998, -2513.0217, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 984.4868, -2513.8755, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 982.9136, -2513.2920, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 981.7831, -2512.1577, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 981.2037, -2511.4658, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 981.2031, -2511.4658, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 981.1383, -2515.9917, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 982.3819, -2515.8716, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 983.6260, -2515.7515, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 984.8702, -2515.6313, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 986.3632, -2515.4873, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 981.1822, -2518.2412, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 982.4313, -2518.2168, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 983.9303, -2518.1875, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 985.1794, -2518.1631, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 986.4284, -2518.1387, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 985.9526, -2519.3984, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 984.9771, -2520.6680, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 984.2515, -2521.9326, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 982.9914, -2521.4570, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 981.9766, -2520.7266, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 981.2803, -2522.9016, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 981.4470, -2519.2363, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 982.4926, -2523.4871, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 983.7045, -2524.0720, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 984.9164, -2524.6570, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 986.1110, -2525.4915, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 987.3053, -2526.3264, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 986.0223, -2527.2222, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 984.9807, -2527.9136, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 983.9380, -2528.4299, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 982.9085, -2529.0815, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 981.9146, -2529.5352, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 982.8958, -2524.8247, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 982.7748, -2525.8484, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 982.6537, -2526.8718, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 982.5326, -2527.8953, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 987.4195, -2534.8018, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 987.3992, -2533.8018, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 987.3737, -2532.5518, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 987.3434, -2531.0518, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 987.3131, -2529.5518, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 986.3029, -2529.0713, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 985.0679, -2529.8457, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 984.8471, -2531.3506, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 984.3765, -2532.8604, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 983.9058, -2534.3701, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 982.9055, -2534.3896, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 982.3906, -2533.6494, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 981.6151, -2532.4141, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 981.3396, -2531.1689, 148.7658, 0.0000, 0.0000, 0.0000);
CreateObject(10360, 1050.5029, -2712.9426, 115.0372, 0.0000, 6.0000, 220.0000);
CreateObject(10362, 918.5771, -2610.0713, 141.2367, 0.0000, 0.0000, 161.9989);
CreateObject(10363, 1072.8275, -2632.1619, 111.2373, 2.0013, 12.7505, 68.0088);
CreateObject(10363, 1125.6830, -2728.3721, 128.3931, 2.0050, 11.9971, 68.0328);
CreateObject(3080, 1049.6606, -2471.8711, 114.6092, 20.0000, 0.0000, 332.0000);
CreateObject(3080, 1047.3811, -2476.0208, 111.2965, 5.0000, 0.0000, 332.0000);
CreateObject(3080, 1051.3887, -2468.7512, 118.9929, 35.0000, 0.0000, 331.9958);
CreateObject(3749, -302.69921875, 1508.8994140625, 80.199996948242, 0, 0, 0);
CreateObject(11547, -339.10000610352, 1514.8000488281, 77.300003051758, 0, 0, 90);
CreateObject(11547, -322.599609375, 1514.8994140625, 77.300003051758, 0, 0, 90);
CreateObject(14467, -291.60000610352, 1536.4000244141, 77.300003051758, 0, 0, 0);
CreateObject(9314, -317.20001220703, 1569.4000244141, 76.099998474121, 0, 0, 0);
CreateObject(8406, -330.10000610352, 1534.5, 79.900001525879, 0, 0, 0);
CreateObject(7606, -367.79998779297, 1581.3000488281, 80.599998474121, 0, 0, 43.995727539063);
CreateObject(6958, -404.79998779297, 1435, 44.900001525879, 0, 0, 116);
CreateObject(3471, -337.60000610352, 1536.1999511719, 75.800003051758, 0, 0, 272);
CreateObject(11677, -311.20001220703, 1331, 58.200000762939, 0, 0, 228);
CreateObject(1676, -325.29998779297, 1514.8000488281, 76.099998474121, 0, 0, 90);
CreateObject(1676, -336.20001220703, 1514.8000488281, 76.099998474121, 0, 0, 90);
CreateObject(1676, -314.39999389648, 1514.9000244141, 76.099998474121, 0, 0, 90);
CreateObject(1676, -347.20001220703, 1515.0999755859, 76.099998474121, 0, 0, 90);
CreateObject(7392, -364.5, 1549.3000488281, 84.300003051758, 0, 0, 303.99475097656);
CreateObject(9833, -318, 1548.9000244141, 77.800003051758, 0, 0, 276);
CreateObject(16778, -297.79998779297, 1537.5, 74.599998474121, 0, 0, 87.994995117188);
CreateObject(12957, -351.599609375, 1521.19921875, 75.400001525879, 0, 0, 0);
CreateObject(2773, -302.39999389648, 1508.3000488281, 74.900001525879, 0, 0, 0);
CreateObject(2773, -302.39999389648, 1510.3000488281, 74.900001525879, 0, 0, 0);
CreateObject(1237, -288.79998779297, 1405.3000488281, 71.400001525879, 0, 0, 0);
CreateObject(1237, -289.10000610352, 1404.1999511719, 71.400001525879, 0, 0, 0);
CreateObject(1237, -289.39999389648, 1403, 71.400001525879, 0, 0, 0);
CreateObject(1237, -289.79998779297, 1401.8000488281, 71.400001525879, 0, 0, 0);
CreateObject(1237, -290.20001220703, 1400.5999755859, 71.400001525879, 0, 0, 0);
CreateObject(1237, -290.70001220703, 1399.5, 71.400001525879, 0, 0, 0);
CreateObject(1237, -291.29998779297, 1398.5, 71.400001525879, 0, 0, 0);
CreateObject(1237, -291.89999389648, 1397.5, 71.400001525879, 0, 0, 0);
CreateObject(1237, -292.60000610352, 1396.4000244141, 71.400001525879, 0, 0, 0);
CreateObject(1237, -293.29998779297, 1395.3000488281, 71.400001525879, 0, 0, 0);
CreateObject(1237, -294, 1394.5, 71.400001525879, 0, 0, 0);
CreateObject(1237, -294.79998779297, 1393.8000488281, 71.400001525879, 0, 0, 0);
CreateObject(1237, -295.70001220703, 1393, 71.400001525879, 0, 0, 0);
CreateObject(1237, -296.70001220703, 1392.1999511719, 71.400001525879, 0, 0, 0);
CreateObject(1237, -297.70001220703, 1391.4000244141, 71.400001525879, 0, 0, 0);
CreateObject(1237, -298.89999389648, 1390.9000244141, 71.400001525879, 0, 0, 0);
CreateObject(1237, -300, 1390.3000488281, 71.400001525879, 0, 0, 0);
CreateObject(1237, -301.10000610352, 1389.9000244141, 71.400001525879, 0, 0, 0);
CreateObject(1237, -302.29998779297, 1389.4000244141, 71.400001525879, 0, 0, 0);
CreateObject(1237, -303.5, 1389.0999755859, 71.400001525879, 0, 0, 0);
CreateObject(1237, -304.79998779297, 1389, 71.400001525879, 0, 0, 0);
CreateObject(1237, -306.10000610352, 1388.8000488281, 71.400001525879, 0, 0, 0);
CreateObject(1237, -307.20001220703, 1388.5999755859, 71.400001525879, 0, 0, 0);
CreateObject(1237, -308.29998779297, 1388.5, 71.400001525879, 0, 0, 0);
CreateObject(1237, -309.39999389648, 1388.5, 71.400001525879, 0, 0, 0);
CreateObject(1237, -310.39999389648, 1388.5, 71.400001525879, 0, 0, 0);
CreateObject(1237, -311.5, 1388.5, 71.300003051758, 0, 0, 0);
CreateObject(1237, -312.70001220703, 1388.5999755859, 71.300003051758, 0, 0, 0);
CreateObject(1237, -313.79998779297, 1388.9000244141, 71.300003051758, 0, 0, 0);
CreateObject(1237, -314.70001220703, 1389.5999755859, 71.199996948242, 0, 0, 0);
CreateObject(1237, -315.60000610352, 1390.1999511719, 71.199996948242, 0, 0, 0);
CreateObject(1237, -316.5, 1390.9000244141, 71.099998474121, 0, 0, 0);
CreateObject(1237, -317.39999389648, 1391.5999755859, 71.099998474121, 0, 0, 0);
CreateObject(1237, -318.29998779297, 1392.3000488281, 71, 0, 0, 0);
CreateObject(1237, -319.29998779297, 1393, 71, 0, 0, 0);
CreateObject(1237, -320.29998779297, 1393.6999511719, 70.900001525879, 0, 0, 0);
